0000000055,0000045000,063363,061309,066411,066934,-34063,-59768,099900
0000000056,0000045833,063291,061327,066466,066934,-04886,-79892,090847
0000000057,0000046667,063230,061321,066533,066934,024838,-92222,073453
0000000058,0000047500,063184,061292,066608,066934,052211,-95558,049416
0000000059,0000048333,063159,061243,066682,066934,074532,-89528,021066
0000000060,0000049167,063157,061179,066748,066934,089638,-74768,-08800
0000000061,0000050000,063178,061106,066799,066934,096058,-52716,-37273
0000000062,0000050833,063221,061032,066832,066934,093120,-25505,-61546
0000000063,0000051667,063280,060962,066842,066934,081155,004177,-79263
0000000064,0000052500,063351,060905,066828,066934,061329,033437,-88697
0000000065,0000053333,063426,060866,066792,066934,035554,059397,-88882
0000000066,0000054167,063498,060848,066738,066934,006382,079530,-79842
0000000067,0000055000,063560,060854,066670,066934,-23345,091875,-62460
0000000068,0000055833,063606,060883,066595,066934,-50707,095181,-38405
0000000069,0000056667,063631,060932,066521,066934,-73035,089166,-10062
0000000070,0000057500,063633,060996,066455,066934,-88155,074418,019807
0000000071,0000058333,063612,061069,066404,066934,-94546,052345,048270
0000000072,0000059167,063569,061144,066371,066934,-91623,025143,072550
0000000073,0000060000,063509,061213,066362,066934,-79671,-04540,090280
0000000074,0000060833,063439,061270,066375,066934,-59822,-33794,099686
0000000075,0000061667,063363,061309,066411,066934,-34057,-59759,099886
0000000076,0000062500,063291,061327,066466,066934,-04886,-79904,090860
0000000077,0000063333,063230,061321,066533,066934,024838,-92222,073453
0000000078,0000064167,063184,061292,066608,066934,052203,-95542,049409
0000000079,0000065000,063159,061244,066682,066934,074543,-89543,021069
0000000080,0000065833,063157,061179,066748,066934,089638,-74769,-08800
0000000081,0000066667,063178,061106,066799,066934,096043,-52707,-37266
0000000082,0000067500,063221,061032,066832,066934,093134,-25509,-61556
0000000083,0000068333,063280,060962,066841,066934,081155,004177,-79262
0000000084,0000069167,063351,060905,066828,066934,061319,033432,-88682
0000000085,0000070000,063426,060866,066792,066934,035560,059406,-88896
0000000086,0000070833,063498,060848,066737,066934,006382,079530,-79842
0000000087,0000071667,063560,060854,066670,066934,-23341,091860,-62449
0000000088,0000072500,063606,060883,066595,066934,-50715,095196,-38411
0000000089,0000073333,063631,060932,066521,066934,-73035,089167,-10062
0000000090,0000074167,063633,060996,066455,066934,-88141,074406,019804
0000000091,0000075000,063612,061069,066404,066934,-94561,052354,048277
0000000092,0000075833,063569,061144,066371,066934,-91623,025143,072550
0000000093,0000076667,063509,061213,066362,066934,-79658,-04539,090267
0000000094,0000077500,063439,061270,066375,066934,-59832,-33799,099701
0000000095,0000078333,063363,061309,066411,066934,-34057,-59759,099886
0000000096,0000079167,063291,061327,066466,066934,-04885,-79892,090847
0000000097,0000080000,063230,061321,066533,066934,024842,-92236,073464
0000000098,0000080833,063184,061292,066608,066934,052203,-95542,049409
0000000099,0000081667,063159,061243,066682,066934,074532,-89528,021066
0000000100,0000082500,063157,061179,066748,066934,089652,-74780,-08802
0000000101,0000083333,063178,061106,066799,066934,096043,-52707,-37266
0000000102,0000084167,063221,061032,066832,066934,093120,-25504,-61546
0000000103,0000085000,063280,060962,066842,066934,081168,004178,-79276
0000000104,0000085833,063351,060905,066828,066934,061319,033432,-88682
0000000105,0000086667,063426,060866,066792,066934,035554,059397,-88882
0000000106,0000087500,063498,060848,066738,066934,006383,079542,-79856
0000000107,0000088333,063560,060854,066670,066934,-23341,091860,-62449
0000000108,0000089167,063606,060883,066595,066934,-50707,095181,-38404
0000000109,0000090000,063631,060932,066521,066934,-73047,089181,-10064
0000000110,0000090833,063633,060996,066455,066934,-88141,074407,019804
0000000111,0000091667,063612,061069,066404,066934,-94546,052345,048270
0000000112,0000092500,063569,061144,066371,066934,-91638,025147,072561
0000000113,0000093333,063509,061213,066362,066934,-79658,-04539,090266
0000000114,0000094167,063439,061270,066375,066934,-59822,-33794,099686
0000000115,0000095000,063363,061309,066411,066934,-34063,-59768,099900
0000000116,0000095833,063291,061327,066466,066934,-04886,-79892,090847
0000000117,0000096667,063230,061321,066533,066934,024838,-92222,073453
0000000118,0000097500,063184,061292,066608,066934,052211,-95557,049416
0000000119,0000098333,063159,061243,066682,066934,074532,-89528,021066
0000000120,0000099167,063157,061179,066748,066934,089638,-74768,-08800
0000000121,0000100000,063178,061106,066799,066934,096058,-52716,-37273
0000000122,0000100833,063221,061032,066832,066934,093120,-25505,-61546
0000000123,0000101667,063280,060962,066841,066934,081155,004177,-79263
0000000124,0000102500,063351,060905,066828,066934,061329,033437,-88697
0000000125,0000103333,063426,060866,066792,066934,035554,059397,-88882
0000000126,0000104167,063498,060848,066737,066934,006382,079530,-79842
0000000127,0000105000,063560,060854,066670,066934,-23345,091875,-62460
0000000128,0000105833,063606,060883,066595,066934,-50707,095181,-38405
